,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
112,Köhnə tikili,5 / 5,54 m²,2,var,,,73000,AZN,"Neftçilər m.,Nizami r.",40.4115460049945,Bakı,49.94634344575774,3131642,31 Dekabr 2022 
113,Yeni tikili,13 / 20,104.2 m²,3,yoxdur,,,179000,AZN,"Xətai r.,Həzi Aslanov q.",40.36831700907641,Bakı,49.93831084834876,3131643,22 Yanvar 2023 
114,Yeni tikili,5 / 16,102 m²,3,yoxdur,,,265000,AZN,"Nəriman Nərimanov parkı ,Nəriman Nərimanov m.,Rəssamlıq Akademiyası ,Montin bazarı ,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,3131667,02 Dekabr 2022 
115,Yeni tikili,15 / 19,99 m²,3,yoxdur,,,175000,AZN,"Xətai r.,Həzi Aslanov q.",40.35561987354004,Bakı,49.96058464050293,3131668,02 Dekabr 2022 
116,Yeni tikili,3 / 15,140.1 m²,3,yoxdur,,,160000,AZN,"Zərifə Əliyeva adına park ,Nəsimi m.,Memar Əcəmi m.,Binəqədi r.,M.Ə.Rəsulzadə q.",40.38341187453192,Bakı,49.82710719108582,3131679,31 Dekabr 2022 
117,Yeni tikili,5 / 6,75 m²,2,yoxdur,,,68000,AZN,"Abşeron r.,Masazır q.",40.49141258632041,Bakı,49.75568086775159,3131680,31 Dekabr 2022 
118,Yeni tikili,14 / 16,104 m²,2,var,var,var,155000,AZN,"İnşaatçılar m.,Yasamal r.",40.39989258617802,Bakı,49.83979431395813,3131683,11 Fevral 2023 
119,Yeni tikili,7 / 20,80 m²,3,yoxdur,,,149000,AZN,"Xətai r.,Həzi Aslanov q.",40.36492329576907,Bakı,49.95938301086426,3131701,06 Yanvar 2023 
120,Köhnə tikili,5 / 5,80 m²,3,var,,,140000,AZN,"Qara Qarayev m.,Koroğlu m.,Nizami r.",40.40152503521376,Bakı,49.86131862059725,3133273,01 Yanvar 2023 
121,Köhnə tikili,2 / 9,38 m²,1,var,var,var,79000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39205366748811,Bakı,49.84065234661102,3133396,01 Yanvar 2023 
122,Yeni tikili,14 / 17,165 m²,4,yoxdur,,,350000,AZN,"Tibb Universiteti ,ASAN Xidmət №1 ,Nəsimi bazarı ,Neftçi bazası ,Park Zorge ,TQDK ,Koala parkı ,Rusiya səfirliyi ,Nəsimi r.",40.39414959485713,Bakı,49.7993946075439,3134412,17 Mart 2023 
123,Yeni tikili,2 / 7,93 m²,3,yoxdur,,,73000,AZN,Xırdalan,40.45501860005179,Xırdalan,49.74547672919015,3134413,02 Yanvar 2023 
124,Yeni tikili,19 / 20,120 m²,3,yoxdur,,,210000,AZN,"Şah İsmayıl Xətai m.,ASAN Xidmət №2 ,Ağ şəhər ,Cavanşir körpüsü ,Xətai r.",40.38196992212191,Bakı,49.8753410419215,3136025,03 Yanvar 2023 
125,Yeni tikili,11 / 17,140 m²,3,var,,,276000,AZN,"İncəsənət və Mədəniyyət Un. ,Elmlər Akademiyası m.,Hüseyn Cavid parkı ,Dövlət Statistika Komitəsi ,Texniki Universiteti ,Bakı Dövlət Universiteti ,Sovetski ,Nizami m.,Yasamal r.",40.37704818549329,Bakı,49.81860305955652,3136970,03 Yanvar 2023 
126,Yeni tikili,5 / 15,100 m²,2,var,var,var,163000,AZN,"Səbail r.,Badamdar q.",40.40606433283491,Bakı,49.86231650326251,3137588,07 Yanvar 2023 
127,Yeni tikili,19 / 19,537 m²,9,var,,,537000,AZN,"TQDK ,Neftçi bazası ,ASAN Xidmət №1 ,Nəsimi bazarı ,Gənclik m.,Tibb Universiteti ,Koala parkı ,Nərimanov r.",40.3765957210189,Bakı,49.85243260860443,3138725,11 Fevral 2023 
128,Yeni tikili,18 / 19,100 m²,3,var,,,179000,AZN,"20 Yanvar m.,Bakı Asiya Universiteti ,8 Noyabr m.,Yasamal r.",40.37472401862458,Bakı,49.83415603637699,3138726,04 Yanvar 2023 
129,Yeni tikili,3 / 12,70 m²,2,,,,93500,AZN,Abşeron r.,40.484,Bakı,49.757,3139375,04 Yanvar 2023 
130,Köhnə tikili,1 / 2,25 m²,1,var,,,55000,AZN,"Sahil m.,Xalça Muzeyi ,Malokan bağı ,Sahil bağı ,Nizami kinoteatrı ,Fontanlar bağı ,Nəsimi r.",40.37138922741435,Bakı,49.84353164610285,3139382,09 Mart 2023 
131,Yeni tikili,9 / 19,72 m²,2,var,var,var,125000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39329281895507,Bakı,49.79596754665719,3140371,05 Yanvar 2023 
132,Yeni tikili,14 / 16,103 m²,3,var,var,var,158000,AZN,"Xətai r.,Həzi Aslanov q.",40.37613086332457,Bakı,49.91559462210881,3140378,20 Fevral 2023 
133,Yeni tikili,7 / 22,62 m²,1,yoxdur,,,98000,AZN,"Nəsimi m.,Zərifə Əliyeva adına park ,Nizami r.",40.3863886681378,Bakı,49.80817391355895,3140382,05 Yanvar 2023 
134,Yeni tikili,6 / 14,61 m²,2,yoxdur,,,102000,AZN,"Neftçilər m.,Nizami r.",40.39026819642278,Bakı,49.95772004127506,3140386,11 Fevral 2023 
135,Yeni tikili,4 / 7,135 m²,3,,,,165000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.42118995278572,Bakı,49.81093422793998,3140390,05 Yanvar 2023 
136,Köhnə tikili,5 / 9,68 m²,2,var,,,117000,AZN,"Tibb Universiteti ,ASAN Xidmət №1 ,8 Noyabr m.,Nəsimi r.",40.39197603929571,Bakı,49.80684041976929,3140396,05 Yanvar 2023 
137,Yeni tikili,16 / 18,145.2 m²,3,yoxdur,,,167000,AZN,Yasamal r.,40.39414959485713,Bakı,49.7993946075439,3140399,05 Yanvar 2023 
138,Yeni tikili,5 / 18,102 m²,2,var,,,168000,AZN,"Bakı Slavyan Universiteti ,Şərq bazarı ,28 May m.,Nərimanov r.",40.38423468712996,Bakı,49.84921351039168,3140405,05 Yanvar 2023 
139,Yeni tikili,4 / 16,108.8 m²,2,var,var,yoxdur,199800,AZN,"Gənclik m.,Respublika stadionu ,Nərimanov r.",40.41913797142315,Bakı,49.92514979797704,3140411,05 Yanvar 2023 
140,Yeni tikili,8 / 14,90 m²,2,var,var,var,165000,AZN,Yasamal r.,40.39989258617802,Bakı,49.83979431395813,3140412,16 Dekabr 2022 
141,Yeni tikili,16 / 20,66.2 m²,2,yoxdur,,,115000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,3140415,05 Yanvar 2023 
142,Yeni tikili,13 / 16,54 m²,2,var,var,var,115000,AZN,"20 Yanvar m.,Yasamal r.,Yasamal q.",40.37224994422943,Bakı,49.83342432222912,3140417,09 Dekabr 2022 
143,Yeni tikili,12 / 14,75 m²,2,yoxdur,,,168000,AZN,"Şərq bazarı ,Nərimanov r.",40.37620916175648,Bakı,49.81580107043555,3140420,21 Yanvar 2023 
144,Yeni tikili,9 / 18,145.6 m²,3,yoxdur,,,167400,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.39414959485713,Bakı,49.7993946075439,3140428,05 Yanvar 2023 
145,Yeni tikili,18 / 21,155 m²,3,yoxdur,,,200000,AZN,"8 Noyabr m.,Nəsimi r.",40.38264366149726,Bakı,49.87209320068359,3140429,05 Yanvar 2023 
146,Yeni tikili,9 / 16,125 m²,3,var,var,var,220000,AZN,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.37005679625383,Bakı,49.82993423938751,3141369,23 Dekabr 2022 
147,Köhnə tikili,7 / 9,70 m²,3,var,var,var,120000,AZN,"Əhmədli m.,Xətai r.,Əhmədli q.",40.37005679625383,Bakı,49.82993423938751,3141373,05 Yanvar 2023 
148,Yeni tikili,12 / 16,44 m²,2,var,var,var,120000,AZN,"Səbail r.,Badamdar q.",40.37005679625383,Bakı,49.82993423938751,3141379,05 Yanvar 2023 
149,Köhnə tikili,2 / 2,38 m²,1,var,,,72000,AZN,"Nizami m.,Beşmərtəbə ,Yasamal r.",40.37921111325789,Bakı,49.82977867126465,3143130,06 Yanvar 2023 
150,Yeni tikili,5 / 21,92 m²,3,yoxdur,,,135000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.42501388353632,Bakı,49.91049531402914,3143135,06 Fevral 2023 
151,Yeni tikili,14 / 19,124 m²,3,yoxdur,,,170000,AZN,"İnşaatçılar m.,20 Yanvar m.,Yasamal r.,Yasamal q.",40.37224994422943,Bakı,49.83342432222912,3143138,06 Yanvar 2023 
152,Yeni tikili,9 / 17,87 m²,3,var,var,yoxdur,166000,AZN,"Bakı Slavyan Universiteti ,28 May m.,Azərbaycan Dillər Universiteti ,Nəsimi r.",40.40328327684168,Bakı,49.85078707337379,3143141,06 Yanvar 2023 
153,Yeni tikili,3 / 7,167 m²,4,yoxdur,,,299900,AZN,"Ağ şəhər ,Xətai r.,Ağ şəhər q.",40.3843138616866,Bakı,49.88635977435302,3143143,14 Dekabr 2022 
154,Yeni tikili,8 / 16,70 m²,2,var,,,159000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.38274990424748,Bakı,49.8084390163422,3143144,06 Yanvar 2023 
155,Yeni tikili,2 / 6,98 m²,3,var,,,165000,AZN,"Həzi Aslanov m.,Xətai r.",40.37304896524473,Bakı,49.95350138199491,3143148,06 Yanvar 2023 
156,Yeni tikili,7 / 20,133 m²,3,var,var,var,205900,AZN,Xətai r.,40.37613086332457,Bakı,49.91559462210881,3143753,07 Yanvar 2023 
157,Yeni tikili,3 / 3,60 m²,2,var,,,55000,AZN,Abşeron r.,40.51357077006317,Bakı,49.93837594985962,3143755,07 Yanvar 2023 
158,Yeni tikili,5 / 5,43 m²,2,var,,,35000,AZN,"Sabunçu r.,Məmmədli q.",40.51363904015635,Bakı,49.93704352224769,3143758,07 Yanvar 2023 
159,Yeni tikili,4 / 22,145 m²,3,var,var,var,450000,AZN,"Nərimanov heykəli ,Sovetski ,Space TV ,Texniki Universiteti ,İçəri Şəhər m.,Elmlər Akademiyası m.,Yasamal r.",40.40606433283491,Bakı,49.86231650326251,3144756,12 Mart 2023 
