,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka
326,Yeni tikili,6 / 17,178 m²,4,yoxdur,,445000,AZN,"Nizami m.,Yasamal r.",40.37512451826901,Bakı,49.81611013412476,3260488,01 Mart 2023 ,
327,Köhnə tikili,4 / 5,40 m²,2,var,,81000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.38264366149726,Bakı,49.80834245681766,3260699,08 Mart 2023 ,
328,Yeni tikili,6 / 16,57 m²,2,yoxdur,,128000,AZN,"Həzi Aslanov m.,Xətai r.",40.40152503521376,Bakı,49.86131862059725,3260701,07 Fevral 2023 ,
329,Yeni tikili,10 / 16,77 m²,2,yoxdur,,137000,AZN,"Həzi Aslanov m.,Xətai r.",40.40152503521376,Bakı,49.86131862059725,3260735,07 Fevral 2023 ,
330,Yeni tikili,10 / 16,157 m²,3,var,yoxdur,298000,AZN,"Gənclik m.,Respublika stadionu ,Nərimanov r.",40.41913797142315,Bakı,49.92514979797704,3260890,08 Mart 2023 ,var
331,Yeni tikili,4 / 16,134 m²,3,var,,275000,AZN,"Nəsimi bazarı ,Koala parkı ,Dostluq kinoteatrı ,Nəsimi r.",40.39395652003219,Bakı,49.84218099740625,3260894,08 Mart 2023 ,
332,Yeni tikili,3 / 14,150 m²,3,var,var,269000,AZN,"Koala parkı ,Park Zorge ,Dostluq kinoteatrı ,Nəsimi bazarı ,Nəsimi r.",40.37024250177031,Bakı,49.97394200996779,3260903,Dünən 23:00 ,var
333,Yeni tikili,16 / 21,65 m²,2,var,var,166000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.39980377915154,Bakı,49.86642837524414,3260907,08 Mart 2023 ,var
334,Yeni tikili,15 / 17,81 m²,2,var,var,152000,AZN,"Tibb Universiteti ,Nəsimi r.",40.39232579999999,Bakı,49.82880550000004,3260908,08 Mart 2023 ,var
335,Yeni tikili,7 / 18,135 m²,4,var,var,215000,AZN,"20 Yanvar m.,Yasamal r.",40.40279366777769,Bakı,49.80916300939535,3260910,08 Mart 2023 ,var
336,Yeni tikili,17 / 17,95 m²,3,yoxdur,,120000,AZN,"Nəsimi m.,Nəsimi r.",40.39336516184337,Bakı,49.79300022125244,3260913,08 Mart 2023 ,
337,Yeni tikili,14 / 16,183 m²,4,yoxdur,,308000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.38341187453192,Bakı,49.82710719108582,3260916,11 Mart 2023 ,
338,Yeni tikili,3 / 16,115 m²,3,var,,170000,AZN,Xətai r.,40.40152503521376,Bakı,49.86131862059725,3261280,07 Fevral 2023 ,
339,Yeni tikili,6 / 10,60 m²,2,var,,125000,AZN,Yasamal r.,40.38218599850386,Bakı,49.81046676635742,3261414,03 Mart 2023 ,
340,Yeni tikili,3 / 8,131 m²,3,yoxdur,,182000,AZN,Xətai r.,40.36132225519145,Bakı,49.9479715526104,3261539,08 Mart 2023 ,
