Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,locations,latitude,city,longitude,date,Təmir,İpoteka
Köhnə tikili,8 / 8,60 m²,2,,118000,"Sovetski ,Nərimanov heykəli ,Yasamal r.",40.36822884896801,Bakı,49.813362210989,04 Oktyabr 2022 ,,
Köhnə tikili,4 / 9,82 m²,3,,130000,"Əhmədli m.,Xətai r.",40.36822884896801,Bakı,49.813362210989,28 Sentyabr 2022 ,,
Köhnə tikili,5 / 5,65 m²,3,,105000,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.41019578104481,Bakı,49.94320392608643,27 Dekabr 2022 ,,
Yeni tikili,4 / 10,70 m²,2,,117000,"ASAN Xidmət №1 ,TQDK ,Nəsimi bazarı ,Nəsimi r.",40.39796181991337,Bakı,49.8393312802966,19 Oktyabr 2022 ,,
Köhnə tikili,3 / 9,60 m²,2,,107000,"Binəqədi r.,9-cu mikrorayon q.",40.42793349999999,Bakı,49.81359980000002,19 Oktyabr 2022 ,,
Yeni tikili,13 / 16,134 m²,3,,165000,"Suraxanı r.,Qaraçuxur q.",40.38499730777751,Bakı,49.83810424804688,06 Oktyabr 2022 ,,
Köhnə tikili,1 / 9,60 m²,2,,95000,"Binəqədi r.,9-cu mikrorayon q.",40.42793349999999,Bakı,49.81359980000002,19 Oktyabr 2022 ,,
Yeni tikili,15 / 20,154 m²,4,,232000,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.42527440160644,Bakı,49.85134363174438,19 Oktyabr 2022 ,,
Köhnə tikili,1 / 5,80 m²,3,,125000,"Sabunçu r.,Bakıxanov q.",40.41506433016008,Bakı,49.96858546860277,19 Oktyabr 2022 ,,
Köhnə tikili,1 / 5,57 m²,2,,67000,"Nizami r.,8-ci kilometr q.",40.40553291262841,Bakı,49.9570362036692,29 Sentyabr 2022 ,,
Yeni tikili,5 / 17,60 m²,2,yoxdur,118000,"Tibb Universiteti ,ASAN Xidmət №1 ,Nəsimi r.",40.39989258617802,Bakı,49.83979431395813,09 Dekabr 2022 ,,
Köhnə tikili,1 / 9,77 m²,3,,120000,"Bakı Dövlət Universiteti ,Yasamal r.",40.38525881895442,Bakı,49.85801696777344,19 Oktyabr 2022 ,,
Yeni tikili,3 / 17,72 m²,2,,145000,"Qara Qarayev m.,Nizami r.",40.38873191798482,Bakı,49.95395421981815,18 Noyabr 2022 ,,
Köhnə tikili,4 / 9,92 m²,3,,165000,"Şəhidlər xiyabanı ,Yasamal r.",40.3863886681378,Bakı,49.80817391355895,19 Oktyabr 2022 ,,
Yeni tikili,9 / 19,105 m²,3,var,138000,"İnşaatçılar m.,Yasamal r.",40.39980377915154,Bakı,49.86642837524414,10 Dekabr 2022 ,,
Köhnə tikili,7 / 10,110 m²,4,,245000,"İncəsənət və Mədəniyyət Un. ,Elmlər Akademiyası m.,Yasamal r.",40.3863886681378,Bakı,49.80817391355895,19 Oktyabr 2022 ,,
Yeni tikili,14 / 16,71 m²,1,,85000,"Avtovağzal m.,Binəqədi r.,Biləcəri q.",40.42134255321898,Bakı,49.79434202322889,19 Oktyabr 2022 ,,
Yeni tikili,12 / 18,90 m²,2,,180000,"Qara Qarayev m.,Nizami r.",40.38873191798482,Bakı,49.95395421981815,03 Fevral 2023 ,,
Yeni tikili,7 / 16,55 m²,2,,90000,"Həzi Aslanov m.,Xətai r.",40.39026819642278,Bakı,49.95772004127506,19 Oktyabr 2022 ,,
Yeni tikili,18 / 21,140 m²,3,var,420000,"Nizami m.,Beşmərtəbə ,Yasamal r.",40.37957159768438,Bakı,49.83156913493153,19 Noyabr 2022 ,,
Yeni tikili,4 / 15,148 m²,3,yoxdur,213000,"Nəriman Nərimanov m.,Nərimanov r.",40.38264366149726,Bakı,49.87209320068359,19 Oktyabr 2022 ,,
Yeni tikili,11 / 11,36 m²,1,,38500,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,19 Oktyabr 2022 ,,
Yeni tikili,4 / 16,95.2 m²,3,,160000,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,19 Oktyabr 2022 ,,
Yeni tikili,11 / 18,118 m²,3,,143000,"Yasamal r.,Yeni Yasamal q.",40.38499730777751,Bakı,49.84222412109375,19 Oktyabr 2022 ,,
Yeni tikili,8 / 16,98 m²,2,,180000,"Qara Qarayev m.,Nizami r.",40.38873191798482,Bakı,49.95395421981815,18 Noyabr 2022 ,,
Yeni tikili,5 / 5,54 m²,2,,45000,"Abşeron r.,Masazır q.",40.49185094555289,Bakı,49.75366323871008,19 Oktyabr 2022 ,,
Yeni tikili,11 / 12,107 m²,3,,137000,"Qara Qarayev m.,Nizami r.",40.39816149998397,Bakı,49.84086155891422,29 Oktyabr 2022 ,,
Yeni tikili,18 / 27,150 m²,3,,360000,Yasamal r.,40.37620916175648,Bakı,49.81580107043555,14 Oktyabr 2022 ,,
Yeni tikili,13 / 16,98 m²,3,yoxdur,208000,"Qara Qarayev m.,Nizami r.",40.38873191798482,Bakı,49.95395421981815,03 Mart 2023 ,,
Yeni tikili,14 / 17,70 m²,2,var,121000,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.38781667161964,Bakı,49.85220193862915,19 Oktyabr 2022 ,,
Yeni tikili,8 / 18,102 m²,2,,163200,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.3863886681378,Bakı,49.80817391355895,19 Oktyabr 2022 ,,
Yeni tikili,13 / 17,116 m²,3,,295000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,19 Oktyabr 2022 ,,
Yeni tikili,2 / 20,60 m²,2,var,101000,Xətai r.,40.39989258617802,Bakı,49.83979431395813,19 Oktyabr 2022 ,,
Yeni tikili,15 / 17,216 m²,4,,645000,"M.Hüseynzadə parkı ,Sevil Qazıyeva parkı ,Nizami m.,Yasamal r.",40.40554735588255,Bakı,49.87506508827209,19 Oktyabr 2022 ,,
Yeni tikili,14 / 14,72 m²,2,,125000,Nərimanov r.,40.40165027405231,Bakı,49.86080646514893,19 Oktyabr 2022 ,,
Yeni tikili,11 / 17,60 m²,2,var,93000,"Neftçilər m.,Nizami r.",40.39816149998397,Bakı,49.84086155891422,05 Noyabr 2022 ,,
Köhnə tikili,2 / 9,80 m²,3,,125000,Xətai r.,40.37104456957248,Bakı,49.95549254560103,19 Oktyabr 2022 ,,
Yeni tikili,6 / 6,75 m²,3,,68000,"Abşeron r.,Masazır q.",40.38873191798482,Bakı,49.95395421981815,19 Oktyabr 2022 ,,
Yeni tikili,4 / 9,57 m²,2,var,76000,Abşeron r.,40.37005679625383,Xırdalan,49.82993423938751,19 Oktyabr 2022 ,,
Köhnə tikili,2 / 5,41 m²,2,,83000,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.39408422578834,Bakı,49.80179786682129,16 Oktyabr 2022 ,,
Yeni tikili,9 / 17,106 m²,3,,250000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.37620916175648,Bakı,49.81580107043555,19 Oktyabr 2022 ,,
Köhnə tikili,2 / 4,64 m²,2,,218000,"Azərbaycan kinoteatrı ,Fontanlar bağı ,Xalça Muzeyi ,M.Ə.Sabir parkı ,İçəri Şəhər ,Mərkəzi Univermaq ,Sahil m.,İçəri Şəhər m.,Səbail r.",40.37738239264175,Bakı,49.82495069503784,07 Noyabr 2022 ,,
Yeni tikili,15 / 17,144 m²,3,,348000,"Koala parkı ,Dostluq kinoteatrı ,Nəsimi bazarı ,Park Zorge ,Nəsimi r.",40.39205366748811,Bakı,49.84065234661102,28 Yanvar 2023 ,,
Köhnə tikili,8 / 9,120 m²,5,,140900,"Neapol dairəsi ,Xətai r.",40.37104456957248,Bakı,49.95549254560103,25 Oktyabr 2022 ,,
Yeni tikili,15 / 18,94 m²,3,,230000,"Bakı Slavyan Universiteti ,Azərbaycan Dillər Universiteti ,28 May m.,Nəsimi r.",40.38525881895442,Bakı,49.85801696777344,19 Oktyabr 2022 ,,
Yeni tikili,12 / 13,68 m²,2,,108000,"Qara Qarayev m.,Nizami r.",40.3863886681378,Bakı,49.80817391355895,19 Oktyabr 2022 ,,
Köhnə tikili,2 / 5,75 m²,3,,165000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.39203732471822,Bakı,49.84165549278259,18 Dekabr 2022 ,,
Köhnə tikili,2 / 9,50 m²,2,,86000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.37660389427779,Bakı,49.8131650686264,19 Oktyabr 2022 ,,
Yeni tikili,9 / 17,83.1 m²,2,var,145000,"ASAN Xidmət №1 ,Neftçi bazası ,Tibb Universiteti ,Nəsimi r.",40.40554735588255,Bakı,49.87506508827209,18 Noyabr 2022 ,,
Yeni tikili,3 / 18,100 m²,3,,170000,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.38873191798482,Bakı,49.95395421981815,18 Dekabr 2022 ,,
Köhnə tikili,1 / 4,55 m²,2,,126000,"Axundov bağı ,İqsadiyyat Universiteti ,Dövlət İdarəçilik Akademiyası ,İçəri Şəhər m.,Prezident parkı ,Sovetski ,Qubernator parkı ,M.Ə.Sabir parkı ,Nərimanov heykəli ,Səbail r.",40.39816149998397,Bakı,49.84086155891422,29 Sentyabr 2022 ,,
Köhnə tikili,5 / 5,34 m²,1,,65000,"Neftçi bazası ,Nərimanov r.",40.38264366149726,Bakı,49.87209320068359,19 Oktyabr 2022 ,,
Yeni tikili,16 / 17,98 m²,3,,129000,"Həzi Aslanov m.,Xətai r.,Köhnə Günəşli q.",40.39989258617802,Bakı,49.83979431395813,19 Oktyabr 2022 ,,
Yeni tikili,9 / 16,145 m²,3,,230000,"Zərifə Əliyeva adına park ,Binəqədi r.",40.37224994422943,Bakı,49.83342432222912,19 Oktyabr 2022 ,,
Yeni tikili,10 / 14,114 m²,3,,187000,"Binəqədi r.,8-ci mikrorayon q.",40.3863886681378,Bakı,49.80817391355895,13 Oktyabr 2022 ,,
Yeni tikili,10 / 18,83 m²,3,,184000,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,04 Fevral 2023 ,,
Yeni tikili,11 / 15,136 m²,3,,295000,"Rəssamlıq Akademiyası ,Nəriman Nərimanov parkı ,Nəriman Nərimanov m.,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,19 Oktyabr 2022 ,,
Köhnə tikili,8 / 9,85 m²,3,var,123500,Yasamal r.,40.37862575802446,Bakı,49.83980533468834,19 Oktyabr 2022 ,,
Köhnə tikili,4 / 5,60 m²,2,,138000,"Texniki Universiteti ,Space TV ,Memarlıq və İnşaat Universiteti ,Hüseyn Cavid parkı ,Elmlər Akademiyası m.,Yasamal r.",40.36897235561476,Bakı,49.81641665647054,19 Oktyabr 2022 ,,
Yeni tikili,13 / 16,131 m²,3,,280000,"ASAN Xidmət №1 ,TQDK ,Nəsimi bazarı ,Nəsimi r.",40.37005679625383,Bakı,49.82993423938751,19 Oktyabr 2022 ,,
Yeni tikili,17 / 17,120 m²,3,,160000,"Nizami r.,8-ci kilometr q.",40.41393134886769,Bakı,49.94170963007977,19 Oktyabr 2022 ,,
Köhnə tikili,3 / 9,80 m²,3,,137000,"Binəqədi r.,9-cu mikrorayon q.",40.42793349999999,Bakı,49.81359980000002,19 Oktyabr 2022 ,,
Yeni tikili,13 / 13,55 m²,2,,54000,"Xətai r.,Həzi Aslanov q.",40.36822884896801,Bakı,49.813362210989,19 Oktyabr 2022 ,,
Yeni tikili,7 / 18,142 m²,3,,195000,"Səbail r.,Badamdar q.",40.37024250177031,Bakı,49.97394200996779,21 Oktyabr 2022 ,,
Köhnə tikili,3 / 5,75 m²,3,,180000,"Dostluq kinoteatrı ,Koala parkı ,Park Zorge ,Nəsimi r.",40.3861741000781,Bakı,49.85149383544922,12 Fevral 2023 ,,
Yeni tikili,9 / 13,118 m²,3,var,137000,Abşeron r.,40.37005679625383,Xırdalan,49.82993423938751,19 Oktyabr 2022 ,,
Yeni tikili,13 / 17,68 m²,3,var,145000,"Qara Qarayev m.,Nizami r.,8-ci kilometr q.",40.41740061397397,Bakı,49.92777585983276,19 Oktyabr 2022 ,,
Yeni tikili,11 / 16,94 m²,3,,170000,Nərimanov r.,40.4089166,Bakı,49.86399959999994,19 Oktyabr 2022 ,,
Yeni tikili,21 / 23,90 m²,2,,78000,"Yasamal r.,Yasamal q.",40.41082277366399,Bakı,49.80035062062916,19 Oktyabr 2022 ,,
Yeni tikili,9 / 17,114 m²,3,,255000,"Hüseyn Cavid parkı ,Texniki Universiteti ,Elmlər Akademiyası m.,Yasamal r.",40.39203732471822,Bakı,49.84165549278259,19 Oktyabr 2022 ,,
Yeni tikili,13 / 18,86 m²,3,var,171900,"Bakı Dövlət Universiteti ,Elmlər Akademiyası m.,Yasamal r.",40.37024250177031,Bakı,49.97394200996779,06 Noyabr 2022 ,var,var
Yeni tikili,16 / 19,123 m²,3,,265000,"Şah İsmayıl Xətai m.,Xətai r.,Ağ şəhər q.",40.38856031023877,Bakı,49.87125635147095,19 Oktyabr 2022 ,,
Köhnə tikili,1 / 5,50 m²,2,,80000,Binəqədi r.,40.47369535977774,Bakı,49.82554569843943,19 Oktyabr 2022 ,,
Yeni tikili,2 / 15,120 m²,3,,255000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.39203732471822,Bakı,49.84165549278259,10 Oktyabr 2022 ,,
Yeni tikili,11 / 17,58 m²,2,,125000,"Azərbaycan turizm institutu ,Nərimanov r.",40.38499730777751,Bakı,49.83810424804688,19 Oktyabr 2022 ,,
Yeni tikili,3 / 18,111 m²,2,,180000,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,19 Oktyabr 2022 ,,
Yeni tikili,16 / 17,126 m²,3,,162000,"Həzi Aslanov m.,Xətai r.",40.371510946835,Bakı,49.95338285124582,19 Oktyabr 2022 ,,
Köhnə tikili,2 / 9,35 m²,1,,72000,"Xalqlar Dostluğu m.,Nizami r.",40.37104456957248,Bakı,49.95549254560103,19 Oktyabr 2022 ,,
Yeni tikili,2 / 12,179 m²,4,,300000,"Azərbaycan turizm institutu ,Nərimanov r.",40.38873191798482,Bakı,49.95395421981815,19 Oktyabr 2022 ,,
Yeni tikili,7 / 19,55 m²,2,,115000,"Binəqədi r.,9-cu mikrorayon q.",40.3863886681378,Bakı,49.80817391355895,04 Oktyabr 2022 ,,
Yeni tikili,9 / 18,130 m²,3,var,224000,"Binəqədi r.,7-ci mikrorayon q.",40.427228007581,Bakı,49.84982617250768,05 Mart 2023 ,,
Yeni tikili,9 / 16,152 m²,4,var,300000,"Nəriman Nərimanov m.,Nərimanov r.",40.36822884896801,Bakı,49.813362210989,19 Oktyabr 2022 ,,
Yeni tikili,18 / 18,60 m²,2,,110000,"İnşaatçılar m.,Yasamal r.",40.37620916175648,Bakı,49.81580107043555,19 Noyabr 2022 ,,
Yeni tikili,10 / 18,135 m²,3,var,160000,"Səbail r.,Badamdar q.",40.37620916175648,Bakı,49.81580107043555,19 Oktyabr 2022 ,,
Köhnə tikili,1 / 9,86 m²,4,,159000,"Yasamal r.,Yeni Yasamal q.",40.37620916175648,Bakı,49.81580107043555,18 Mart 2023 ,,
Köhnə tikili,9 / 9,100 m²,3,var,150000,"Səbail r.,Bayıl q.",40.3479519333145,Bakı,49.83371477021926,24 Fevral 2023 ,,
Yeni tikili,5 / 21,88 m²,3,var,179000,"ASAN Xidmət №1 ,Tibb Universiteti ,Neftçi bazası ,Nərimanov r.",40.39989258617802,Bakı,49.83979431395813,04 Dekabr 2022 ,,
Yeni tikili,7 / 16,61 m²,2,var,78000,Xırdalan,40.44952531844341,Xırdalan,49.74666992977745,19 Oktyabr 2022 ,,
Köhnə tikili,3 / 5,80 m²,4,,159000,"Space TV ,Nərimanov heykəli ,Yasamal r.",40.36536243188481,Bakı,49.8198433138537,19 Oktyabr 2022 ,,
Yeni tikili,15 / 21,75 m²,2,,175000,"Tibb Universiteti ,Nəsimi r.",40.40952590477563,Bakı,49.84445571899418,19 Oktyabr 2022 ,,
Yeni tikili,8 / 19,192 m²,4,,412000,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.38873191798482,Bakı,49.95395421981815,19 Oktyabr 2022 ,,
Köhnə tikili,3 / 4,65 m²,2,,162000,"Ağ şəhər ,ASAN Xidmət №2 ,Xətai r.,Ağ şəhər q.",40.3813596,Bakı,49.8843435,19 Oktyabr 2022 ,,
Yeni tikili,12 / 15,89 m²,3,var,215000,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,05 Fevral 2023 ,,
Yeni tikili,3 / 13,57.5 m²,2,,145000,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,30 Sentyabr 2022 ,,
Köhnə tikili,4 / 5,50 m²,2,,85000,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.41346690150499,Bakı,49.80792681232816,19 Oktyabr 2022 ,,
Yeni tikili,16 / 20,154 m²,4,,232000,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.39205366748811,Bakı,49.84065234661102,19 Oktyabr 2022 ,,
Yeni tikili,17 / 20,153 m²,3,,200000,"ASAN Xidmət №1 ,Neftçi bazası ,Tibb Universiteti ,Nərimanov r.",40.39270174045908,Bakı,49.83329557619629,11 Oktyabr 2022 ,,
Köhnə tikili,9 / 9,60 m²,2,,90000,"Xalqlar Dostluğu m.,Nizami r.",40.40027766320492,Bakı,49.84006762504578,08 Oktyabr 2022 ,,
Yeni tikili,8 / 12,65 m²,3,var,97000,"Suraxanı r.,Qaraçuxur q.",40.408,Bakı,49.974,19 Oktyabr 2022 ,,
Köhnə tikili,2 / 9,85 m²,3,,113000,Xətai r.,40.37024250177031,Bakı,49.97394200996779,18 Oktyabr 2022 ,,
Yeni tikili,11 / 17,80.9 m²,3,,88990,Xırdalan,40.45929229176101,Xırdalan,49.72090495179324,19 Oktyabr 2022 ,,
Yeni tikili,16 / 23,400 m²,5,,900000,"Dövlət Statistika Komitəsi ,İzmir parkı ,M.Hüseynzadə parkı ,Nizami m.,Yasamal r.",40.3836661585519,Bakı,49.82338445758023,19 Oktyabr 2022 ,,
Yeni tikili,14 / 19,71 m²,2,yoxdur,118000,"Neftçilər m.,Nizami r.",40.38816806232006,Bakı,49.83243942260742,12 Noyabr 2022 ,,
Yeni tikili,3 / 16,130 m²,3,,290000,"Axundov bağı ,Dövlət İdarəçilik Akademiyası ,İqsadiyyat Universiteti ,İçəri Şəhər m.,Prezident parkı ,Qubernator parkı ,Nərimanov heykəli ,Sovetski ,M.Ə.Sabir parkı ,Səbail r.",40.39270174045908,Bakı,49.83329557619629,19 Oktyabr 2022 ,,
Yeni tikili,5 / 16,130 m²,4,,360000,"Bakı Slavyan Universiteti ,28 May m.,Azərbaycan Dillər Universiteti ,Neft Akademiyası ,Nəsimi r.",40.38080859350129,Bakı,49.95724192764082,19 Oktyabr 2022 ,,
Yeni tikili,8 / 18,72 m²,2,var,111990,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.39989258617802,Bakı,49.83979431395813,30 Oktyabr 2022 ,var,var
Yeni tikili,10 / 14,92 m²,3,,188000,"Nəriman Nərimanov m.,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,03 Oktyabr 2022 ,,
