,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka,Təmir
83,Yeni tikili,9 / 16,334 m²,4,,668000,AZN,"Bakı Dövlət Universiteti ,Memarlıq və İnşaat Universiteti ,Elmlər Akademiyası m.,Yasamal r.",40.3765957210189,Bakı,49.85243260860443,2749098,15 Noyabr 2022 ,,
84,Yeni tikili,11 / 17,130 m²,3,,250000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.41918604359733,Bakı,49.80957648647768,2750042,18 Mart 2023 ,,
85,Yeni tikili,6 / 18,118 m²,3,,260000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.41743023728935,Bakı,49.81277713704834,2750121,18 Mart 2023 ,,
86,Yeni tikili,2 / 14,84 m²,2,var,135000,AZN,"Bakı Asiya Universiteti ,8 Noyabr m.,Nəsimi r.",40.37533198376934,Bakı,49.81793688867354,2754129,12 Fevral 2023 ,,
87,Yeni tikili,6 / 16,60 m²,2,var,129500,AZN,"Təhsil Nazirliyi ,Nərimanov r.",40.39258071969132,Bakı,49.85810279846191,2755308,12 Yanvar 2023 ,,
88,Yeni tikili,14 / 15,55 m²,2,,105000,AZN,"Neftçilər m.,Nizami r.",40.41699219735978,Bakı,49.93324756622318,2759001,02 Dekabr 2022 ,,
89,Yeni tikili,12 / 22,159 m²,3,,350000,AZN,"Zabitlər parkı ,Sirk ,Azərbaycan Dillər Universiteti ,Nəsimi r.",40.38002022966838,Bakı,49.85552251338959,2759026,09 Mart 2023 ,,
90,Yeni tikili,1 / 14,110 m²,3,,155000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39414959485713,Bakı,49.7993946075439,2762020,17 Noyabr 2022 ,,
91,Yeni tikili,18 / 20,162 m²,3,,450000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.40554735588255,Bakı,49.87506508827209,2762051,07 Noyabr 2022 ,,
92,Yeni tikili,14 / 17,147 m²,3,,300000,AZN,"Yasamal bazarı ,Yasamal r.,Elmlər Akademiyası m.",40.3839039,Bakı,49.79972640000005,2766057,27 Sentyabr 2022 ,,
93,Yeni tikili,12 / 16,110 m²,3,,262000,AZN,"Qış parkı ,Milli Konservatoriya ,Bakı Musiqi Akademiyası ,Nizami kinoteatrı ,Nəsimi r.",40.37790149527547,Bakı,49.83897915011894,2766226,31 Dekabr 2022 ,,
94,Yeni tikili,11 / 19,59 m²,2,,115000,AZN,"20 Yanvar m.,Yasamal r.",40.40136376656986,Bakı,49.80763062898723,2767177,03 Oktyabr 2022 ,,
95,Yeni tikili,10 / 19,95 m²,2,,145000,AZN,Yasamal r.,40.40952590477563,Bakı,49.84445571899418,2768136,01 Noyabr 2022 ,,
96,Yeni tikili,17 / 18,150 m²,3,var,229000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Tibb Universiteti ,Nəsimi r.",40.37024250177031,Bakı,49.97394200996779,2770003,27 Sentyabr 2022 ,,
97,Yeni tikili,1 / 9,130 m²,3,,210000,AZN,"Ayna Sultanova heykəli ,Nərimanov r.",40.41068114002428,Bakı,49.8451659498348,2772056,13 Fevral 2023 ,,
98,Yeni tikili,9 / 10,109 m²,3,,91000,AZN,Abşeron r.,40.37620916175648,Bakı,49.81580107043555,2772381,06 Mart 2023 ,,
99,Yeni tikili,12 / 16,75 m²,3,,130000,AZN,"Sabunçu r.,Bakıxanov q.",40.40366828798837,Bakı,49.87215757369995,2772988,08 Noyabr 2022 ,,
100,Köhnə tikili,3 / 5,50 m²,2,,118000,AZN,"Azadlıq Prospekti m.,Binəqədi r.",40.40952590477563,Bakı,49.84445571899418,2774099,10 Oktyabr 2022 ,,
101,Köhnə tikili,1 / 5,58 m²,3,,77000,AZN,"Memar Əcəmi m.,Nəsimi r.,5-ci mikrorayon q.",40.38042069783201,Bakı,49.80892181396484,2775014,17 Oktyabr 2022 ,,
102,Yeni tikili,16 / 18,78 m²,2,,299000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.37868804293215,Bakı,49.87449645996094,2776121,13 Mart 2023 ,,
103,Yeni tikili,12 / 16,165.5 m²,3,var,300000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Nərimanov r.",40.40114988427396,Bakı,49.83176581472075,2778030,24 Noyabr 2022 ,var,var
104,Yeni tikili,6 / 17,95 m²,3,var,138000,AZN,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.37375136672051,Bakı,49.95380401611332,2780282,13 Noyabr 2022 ,,
105,Yeni tikili,4 / 19,160 m²,3,var,283000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.37620916175648,Bakı,49.81580107043555,2781184,14 Yanvar 2023 ,,
106,Köhnə tikili,8 / 9,67 m²,3,,110000,AZN,"Binəqədi r.,8-ci mikrorayon q.",40.41537411431209,Bakı,49.83664804822183,2782370,18 Oktyabr 2022 ,,
107,Yeni tikili,8 / 17,81 m²,3,,160000,AZN,"Qara Qarayev m.,Nizami r.",40.41699219735978,Bakı,49.93324756622318,2784119,28 Sentyabr 2022 ,,
108,Yeni tikili,8 / 11,83.4 m²,3,,85000,AZN,Xırdalan,40.47222089364966,Xırdalan,49.74330643967277,2785425,14 Dekabr 2022 ,,
109,Yeni tikili,16 / 17,350 m²,5,,280000,AZN,"Həzi Aslanov m.,Xətai r.",40.41932422288878,Bakı,49.92522239685059,2787307,07 Mart 2023 ,,
110,Yeni tikili,12 / 17,76 m²,2,,130000,AZN,Səbail r.,40.38499730777751,Bakı,49.83810424804688,2787423,06 Oktyabr 2022 ,,
111,Yeni tikili,12 / 15,200 m²,4,,264900,AZN,"Memar Əcəmi m.,Binəqədi r.",40.40952590477563,Bakı,49.84445571899418,2789298,10 Mart 2023 ,,
112,Yeni tikili,15 / 18,132 m²,3,,380000,AZN,"Nəriman Nərimanov parkı ,Nəriman Nərimanov m.,Rəssamlıq Akademiyası ,Nərimanov r.",40.41699219735978,Bakı,49.93324756622318,2791029,17 Oktyabr 2022 ,,
113,Köhnə tikili,3 / 5,77 m²,3,,155000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.4260920529372,Bakı,49.84177079688858,2791194,22 Noyabr 2022 ,,
