,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longtitude,id,İpoteka,Təmir
52,Köhnə tikili,3 / 5,30.3 m²,1,var,75000,AZN,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.40210780478213,Bakı,49.85758781433109,3040732,,
53,Köhnə tikili,3 / 9,110 m²,4,var,149000,AZN,"Yasamal r.,Yeni Yasamal q.",40.40210780478213,Bakı,49.85758781433109,3043336,var,var
54,Köhnə tikili,3 / 5,60 m²,2,var,125000,AZN,"Dostluq kinoteatrı ,Koala parkı ,Nəsimi bazarı ,Zoopark ,Nəsimi r.",40.37649764183499,Bakı,49.84163403511051,3045940,,
55,Yeni tikili,3 / 15,64 m²,2,yoxdur,195000,AZN,"Zabitlər parkı ,Nizami m.,Sirk ,Nəsimi r.,Kubinka q.",40.3823534,Bakı,49.83293920000006,3046808,,
56,Yeni tikili,15 / 17,109 m²,3,var,165000,AZN,"İnşaatçılar m.,Yasamal r.",40.39197603929571,Bakı,49.80684041976929,3047676,,
57,Köhnə tikili,7 / 9,120 m²,4,var,115000,AZN,"Ukrayna dairəsi ,Əhmədli m.,Xətai r.,Əhmədli q.",40.39206183887164,Bakı,49.95752692222599,3048544,var,var
58,Köhnə tikili,3 / 4,38 m²,2,var,110000,AZN,"Zoopark ,Dostluq kinoteatrı ,Koala parkı ,Nərimanov r.",40.39200222184113,Bakı,49.84550918957682,3049412,,
59,Yeni tikili,17 / 19,58 m²,2,var,155000,AZN,"İnşaatçılar m.,Yasamal r.",40.36741688288309,Bakı,49.81053225220956,3050280,var,var
60,Yeni tikili,5 / 18,48 m²,2,var,123000,AZN,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.39007001313773,Bakı,49.80271829780688,3051148,,
61,Köhnə tikili,5 / 5,70 m²,3,var,118000,AZN,"Neftçilər m.,Nizami r.",40.37742938831814,Bakı,49.80915784835819,3052884,,
62,Köhnə tikili,2 / 5,70 m²,3,var,140000,AZN,"Tibb Universiteti ,Nəsimi r.",40.37649764183499,Bakı,49.84163403511051,3053752,,
63,Köhnə tikili,9 / 9,110 m²,5,var,130000,AZN,"Yasamal r.,Yeni Yasamal q.",40.3863886681378,Bakı,49.80817391355895,3054620,var,var
64,Yeni tikili,5 / 7,118 m²,3,var,341000,AZN,"Ağ şəhər ,Xətai r.",40.38613323957885,Bakı,49.82919931411747,3055488,,
65,Yeni tikili,18 / 20,47 m²,2,yoxdur,80000,AZN,"20 Yanvar m.,Yasamal r.",40.40073062704566,Bakı,49.80576936920165,3057224,,
66,Yeni tikili,7 / 11,107 m²,3,var,165000,AZN,"Sabunçu r.,Bakıxanov q.",40.41172277125659,Bakı,49.96604751143514,3058092,,
67,Yeni tikili,8 / 15,140 m²,4,var,340000,AZN,Yasamal r.,40.3651072257085,Bakı,49.81950849294662,3059828,,
68,Yeni tikili,15 / 16,87 m²,3,var,135000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39674544968482,Bakı,49.79129855155944,3060696,,
69,Yeni tikili,6 / 6,47.1 m²,2,var,48000,AZN,"Abşeron r.,Masazır q.",40.4862557,Bakı,49.75753099999997,3061564,,
70,Köhnə tikili,7 / 9,65 m²,2,,85000,AZN,"Xətai r.,Əhmədli q.",40.36560855866348,Bakı,49.94906276844792,3062432,,
71,Yeni tikili,17 / 18,99 m²,3,var,142000,AZN,"Həzi Aslanov m.,Xətai r.",40.37304859013469,Bakı,49.95350110838562,3063300,,
72,Yeni tikili,17 / 18,90 m²,2,var,118000,AZN,Yasamal r.,40.39989258617802,Bakı,49.83979431395813,3064168,var,var
73,Yeni tikili,6 / 17,121 m²,3,var,235000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.42793349999999,Bakı,49.81359980000002,3065036,,
74,Köhnə tikili,4 / 5,140 m²,3,var,450000,AZN,"Xalça Muzeyi ,Sahil m.,Fontanlar bağı ,Sahil bağı ,Azərbaycan kinoteatrı ,Səbail r.",40.36942609336699,Bakı,49.84300681787925,3066772,,
