,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
220,Yeni tikili,10 / 16,270 m²,5,var,,,510000,AZN,"Zoopark ,Dostluq kinoteatrı ,Nərimanov r.",40.37738239264175,Bakı,49.82495069503784,3103273,18 Mart 2023 
221,Köhnə tikili,4 / 5,50 m²,2,var,,,91000,AZN,"20 Yanvar m.,Nəsimi r.,1-ci mikrorayon q.",40.38274990424748,Bakı,49.8084390163422,3103311,16 Dekabr 2022 
222,Yeni tikili,4 / 16,282 m²,4,var,var,var,518000,AZN,"Neftçi bazası ,TQDK ,ASAN Xidmət №1 ,Nərimanov r.",40.42501388353632,Bakı,49.91049531402914,3103317,Bugün 12:00 
223,Yeni tikili,17 / 18,63 m²,2,var,,,94000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.39205366748811,Bakı,49.84065234661102,3103323,16 Dekabr 2022 
224,Köhnə tikili,7 / 9,90 m²,3,var,,,130000,AZN,"Memar Əcəmi m.,Binəqədi r.",40.42463128324992,Bakı,49.82827342647775,3103383,27 Noyabr 2022 
225,Yeni tikili,16 / 18,67 m²,2,yoxdur,,,128000,AZN,"Səbail r.,Badamdar q.",40.40165844427115,Bakı,49.86887991428379,3103389,30 Noyabr 2022 
226,Yeni tikili,6 / 15,194 m²,3,var,var,var,450000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.3843596,Bakı,49.87381000000005,3103425,27 Yanvar 2023 
227,Köhnə tikili,4 / 5,80 m²,3,,,,110000,AZN,"Xalqlar Dostluğu m.,Neftçilər m.,Nizami r.,8-ci kilometr q.",40.40122315893532,Bakı,49.94704223405884,3103453,16 Dekabr 2022 
228,Yeni tikili,8 / 10,135 m²,3,var,,,117000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39130673603033,Bakı,49.78650276184081,3103459,16 Dekabr 2022 
229,Köhnə tikili,2 / 5,57 m²,2,var,,,117000,AZN,"Texniki Universiteti ,Space TV ,Hüseyn Cavid parkı ,Nərimanov heykəli ,Yasamal r.",40.36882617357788,Bakı,49.81846233110586,3103471,16 Dekabr 2022 
230,Köhnə tikili,4 / 9,68 m²,3,var,var,var,115000,AZN,"Nizami r.,8-ci kilometr q.",40.41167961732732,Bakı,49.94238121798746,3103478,06 Yanvar 2023 
231,Yeni tikili,10 / 15,114 m²,3,yoxdur,,,220000,AZN,"Memar Əcəmi m.,Nəsimi r.",40.36822884896801,Bakı,49.813362210989,3103506,16 Dekabr 2022 
232,Yeni tikili,4 / 19,178 m²,4,var,var,var,370000,AZN,"Zabitlər parkı ,Sirk ,Rusiya səfirliyi ,Azərbaycan Dillər Universiteti ,Nəsimi r.",40.38493849360124,Bakı,49.8366160926514,3103513,16 Dekabr 2022 
233,Yeni tikili,9 / 17,148 m²,4,var,,,310000,AZN,"Koala parkı ,Nəsimi bazarı ,Dostluq kinoteatrı ,Park Zorge ,Nəsimi r.",40.39219505825798,Bakı,49.8406501350098,3103527,16 Dekabr 2022 
234,Yeni tikili,4 / 14,82 m²,3,var,,,168000,AZN,"Botanika bağı ,Səbail r.,Badamdar q.",40.38264366149726,Bakı,49.87209320068359,3103535,16 Dekabr 2022 
235,Yeni tikili,7 / 18,58 m²,2,var,var,var,130000,AZN,"20 Yanvar m.,Yasamal r.,Yasamal q.",40.40233245930769,Bakı,49.80656929748231,3103552,16 Dekabr 2022 
236,Köhnə tikili,1 / 5,75 m²,3,var,,,115000,AZN,Binəqədi r.,40.39489418492813,Bakı,49.86098617315296,3103563,16 Yanvar 2023 
237,Yeni tikili,3 / 7,71 m²,3,var,,,74000,AZN,"Suraxanı r.,Hövsan q.",40.3810344064398,Bakı,50.07262311324462,3103604,16 Dekabr 2022 
238,Köhnə tikili,1 / 5,75 m²,4,var,,,116000,AZN,"Nəsimi m.,Zərifə Əliyeva adına park ,Binəqədi r.,6-cı mikrorayon q.",40.4245949988932,Bakı,49.82307387087196,3103605,16 Dekabr 2022 
239,Yeni tikili,3 / 5,65 m²,2,var,,,85000,AZN,Xırdalan,40.3863886681378,Xırdalan,49.80817391355895,3103618,16 Dekabr 2022 
240,Yeni tikili,16 / 17,100 m²,2,,,,246000,AZN,"TQDK ,Nəsimi r.",40.39917065662321,Bakı,49.84247433739159,3103621,16 Dekabr 2022 
241,Yeni tikili,11 / 17,185 m²,4,var,,,390000,AZN,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.40284311551182,Bakı,49.87063407897949,3103635,16 Dekabr 2022 
242,Yeni tikili,3 / 17,120 m²,4,yoxdur,,,176000,AZN,"Həzi Aslanov m.,Xətai r.",40.37304943756074,Bakı,49.95350057294625,3103663,16 Dekabr 2022 
243,Yeni tikili,8 / 11,38 m²,2,var,,,43800,AZN,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,3103697,17 Dekabr 2022 
244,Köhnə tikili,2 / 2,70 m²,3,,,,400000,AZN,"Fontanlar bağı ,Azərbaycan kinoteatrı ,Xalça Muzeyi ,Mərkəzi Univermaq ,M.Ə.Sabir parkı ,Sahil m.,Səbail r.",40.3706289775018,Bakı,49.83909130096436,3103741,17 Dekabr 2022 
245,Yeni tikili,13 / 17,105 m²,3,var,,,160000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39027107445843,Bakı,49.79766044226009,3103791,22 Noyabr 2022 
246,Yeni tikili,9 / 16,93 m²,2,var,var,var,147000,AZN,"Zərifə Əliyeva adına park ,Binəqədi r.,9-cu mikrorayon q.",40.38264366149726,Bakı,49.80834245681766,3103817,17 Dekabr 2022 
247,Yeni tikili,3 / 16,55.3 m²,1,yoxdur,,,99500,AZN,"Şərq bazarı ,28 May m.,Nərimanov r.",40.38930339224178,Bakı,49.85948536585312,3103818,21 Noyabr 2022 
248,Yeni tikili,3 / 20,112 m²,3,var,,,150000,AZN,"Sabunçu r.,Bakıxanov q.",40.38873191798482,Bakı,49.95395421981815,3103882,09 Dekabr 2022 
249,Köhnə tikili,4 / 9,80 m²,3,var,var,var,180000,AZN,"Nərimanov heykəli ,Sovetski ,Axundov bağı ,İçəri Şəhər m.,Yasamal r.",40.37024250177031,Bakı,49.97394200996779,3103921,02 Fevral 2023 
250,Yeni tikili,6 / 16,85 m²,3,yoxdur,,,134000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.41874564185036,Bakı,49.81003604867178,3103942,17 Dekabr 2022 
251,Yeni tikili,17 / 18,63 m²,2,var,,,93000,AZN,"Binəqədi r.,8-ci mikrorayon q.",40.40328327684168,Bakı,49.85078707337379,3103949,17 Dekabr 2022 
252,Yeni tikili,9 / 17,200 m²,4,var,,,357000,AZN,"Nizami m.,Beşmərtəbə ,Yasamal r.",40.39203732471822,Bakı,49.84165549278259,3103982,07 Dekabr 2022 
