,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longitude,id,date,Təmir,İpoteka
5921,Yeni tikili,16 / 21,156 m²,3,var,380000,AZN,Səbail r.,40.38535688538403,Bakı,49.82866287231445,3027123,04 Dekabr 2022 ,,
5922,Köhnə tikili,3 / 5,58 m²,2,var,85000,AZN,"20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.,1-ci mikrorayon q.",40.40808389379635,Bakı,49.80907830898435,3027128,03 Noyabr 2022 ,,
5923,Yeni tikili,20 / 22,103 m²,2,yoxdur,98000,AZN,"20 Yanvar m.,Yasamal r.",40.39203732471822,Bakı,49.84165549278259,3027132,03 Noyabr 2022 ,,
5924,Köhnə tikili,3 / 5,56 m²,2,var,85000,AZN,"20 Yanvar m.,Nəsimi r.,1-ci mikrorayon q.",40.38274990424748,Bakı,49.8084390163422,3027134,03 Noyabr 2022 ,,
5925,Yeni tikili,10 / 18,74 m²,2,var,140000,AZN,"20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.",40.39336516184337,Bakı,49.79300022125244,3027142,03 Noyabr 2022 ,var,var
5926,Yeni tikili,9 / 20,175 m²,4,var,332000,AZN,"Tibb Universiteti ,Nəsimi r.",40.38816806232006,Bakı,49.83243942260742,3027150,25 Dekabr 2022 ,var,var
5927,Yeni tikili,15 / 17,102 m²,2,var,189000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,3027151,03 Noyabr 2022 ,,
5928,Yeni tikili,12 / 17,55 m²,2,yoxdur,110000,AZN,"Qara Qarayev m.,Nizami r.",40.41794246852393,Bakı,49.93511406570859,3027155,03 Noyabr 2022 ,,
5929,Yeni tikili,2 / 17,80 m²,3,var,130000,AZN,"Həzi Aslanov m.,Xətai r.",40.37309747519567,Bakı,49.95346069335938,3027178,14 Noyabr 2022 ,,
5930,Yeni tikili,7 / 16,134 m²,3,,188000,AZN,"Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.3729489425625,Bakı,49.9531289973145,3027181,15 Oktyabr 2022 ,,
5931,Yeni tikili,5 / 7,71 m²,2,var,123000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.38264366149726,Bakı,49.87209320068359,3027186,06 Noyabr 2022 ,,
5932,Yeni tikili,13 / 17,107 m²,3,var,207000,AZN,"Şərq bazarı ,Nərimanov r.",40.38930339224178,Bakı,49.85948536585312,3027189,03 Noyabr 2022 ,,
5933,Köhnə tikili,6 / 9,45 m²,2,var,93000,AZN,Yasamal r.,40.3651072257085,Bakı,49.81950849294662,3027193,03 Noyabr 2022 ,,
5934,Yeni tikili,14 / 22,549 m²,5,var,909000,AZN,"Port Baku ,Cavanşir körpüsü ,Nəsimi r.",40.40441175155707,Bakı,49.86737251281738,3027195,04 Mart 2023 ,,
5935,Yeni tikili,1 / 4,88 m²,3,yoxdur,90000,AZN,Xırdalan,40.45511190000001,Xırdalan,49.74459389999993,3027201,03 Noyabr 2022 ,,
